,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative,costs
44,45,num_word_similarity,12,11,linear,word-based,n50_de_rma,"[5, 3, 2, 0, 7, 3, 7, 2, 0, 1, 7, 4, 5, 9, 9, 6, 0, 2, 0, 2, 3, 3, 3, 2, 5, 1, 0, 0, 8, 6, 0, 1, 2, 1, 1, 1, 2, 5, 2, 6, 5, 1, 2, 5, 4, 10, 1, 0, 2, 7]",356.0,52.0,4.0,84.0,272.0,"(93.228017434717628, 26.33463153746078)"
45,46,num_word_similarity,12,12,linear,sentence-based,n50_de_rma,"[ 8  7  2  1  2 10  9  2  8  2 11  2  6  0  0  9  1  1  2  2  6  6  6  1  1
  4  4  1 11  5  7  7  8  3  3  1  3  0  0  4  4  7  2  7 11  0  0  0  2  9]",282.0,64.0,3.5,72.0,210.0,"(496.16904761904738, 91.319999999999993)"
46,47,num_word_similarity,12,12,cosine,word-based,n50_de_rma,"[4, 0, 7, 5, 11, 0, 5, 10, 11, 6, 11, 2, 4, 7, 7, 4, 8, 1, 0, 1, 0, 0, 0, 1, 9, 6, 9, 2, 10, 0, 5, 4, 9, 1, 1, 9, 1, 4, 4, 0, 4, 4, 0, 4, 3, 9, 0, 4, 1, 9]",350.0,56.0,3.0,80.0,270.0,"(91.617476103836282, 25.90273394812645)"
47,48,num_word_similarity,12,12,cosine,sentence-based,n50_de_rma,"[11  3  2  0  2  8  6  2  1 10  6 10  4  3  3  6  0  0  8 10  4  4  4  0  9
  9  6  9  6  7  1  9 11  5  5  0  5  7  7  3  6  9  2  1  6  3  3  9 10  6]",268.0,56.0,4.0,80.0,188.0,"(400.1666666666668, 90.279999999999902)"
48,49,num_word_similarity,14,12,nearest_neighbors,word-based,n50_de_rma,"[4, 11, 3, 10, 12, 4, 0, 2, 4, 2, 12, 7, 0, 7, 3, 4, 0, 2, 0, 2, 11, 6, 0, 3, 4, 10, 10, 4, 2, 4, 7, 9, 4, 9, 9, 7, 3, 6, 12, 13, 6, 4, 8, 4, 7, 4, 3, 0, 2, 7]",324.0,54.0,3.0,82.0,242.0,"(98.188076842828892, 27.232196119584117)"
49,50,num_word_similarity,14,14,nearest_neighbors,sentence-based,n50_de_rma,"[ 1  0 12  1  1  4  6  1  7  1  4  1  6  0  3  6 13  1  1  1  5  5  5 10  2
  2  4  2  4 11 11  2  7  9  8  8  9 10 12 10  6  4  1 11  4  3  0 10  1  6]",294.0,52.0,3.0,84.0,210.0,"(462.51818181818169, 94.239999999999867)"
50,51,num_word_similarity,14,13,precomputed,word-based,n50_de_rma,"[9, 7, 5, 4, 0, 0, 0, 0, 0, 0, 8, 11, 9, 0, 11, 2, 2, 0, 0, 13, 7, 7, 5, 13, 13, 4, 3, 2, 2, 8, 6, 4, 0, 1, 13, 13, 13, 9, 12, 7, 9, 9, 6, 9, 11, 9, 0, 2, 13, 0]",320.0,66.0,3.0,70.0,250.0,"(97.735853366828366, 27.269685030747766)"
51,52,num_word_similarity,14,14,precomputed,sentence-based,n50_de_rma,"[11  6  1  1  1  7 11  1  0  1 13  1 12  6  6  1  1  1  1  1  9  9  9  4  4
  3 11  5 13 10  5  5 11  2  2 11  2  3 11  3  8  5  1  4 13 11  6  3  1  8]",334.0,56.0,3.0,80.0,254.0,"(549.4038461538463, 94.719999999999899)"
52,53,num_word_similarity,14,6,rbf,word-based,n50_de_rma,"[5, 5, 3, 5, 5, 5, 5, 5, 10, 5, 10, 5, 5, 10, 5, 2, 2, 5, 0, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 10, 5, 13, 5, 5, 5, 5, 5, 5, 5, 0, 0, 3, 5, 5, 13, 5, 5, 2, 5]",1214.0,98.0,3.5,38.0,1176.0,"(88.391452499438969, 24.390937082595315)"
53,54,num_word_similarity,14,14,rbf,sentence-based,n50_de_rma,"[ 0  0  0  0  0  0  0  0  0  0  7  0  0  0  0  0  0  0  0 12  0  0  0  8  0
  2  0  6 10  5  9 13  0  4 11  0  3  0  0  0  0  0  0  1  0  0  0  8 12  0]",1228.0,76.0,1.0,60.0,1168.0,"(590.78571428571729, 74.399999999999991)"
